"industry","agg","measure","naics","ind_digits","start","end","paper","method","mu..in.original.measure."
"Automobile","avg","lerner","3361","4","1990","1990","BLP (1995)","RCL","0.239"
"Automobile","avg","lerner","3361","4","1983","1987","Goldberg (1995)","RCL","0.35"
"RTE Cereal","median","lerner","31123","5","1988","1992","Nevo (2001)","RCL","0.422"
"Aircraft Manufactoring","avg","ratio","336411","6","1975","1995","Benkard (2004)","RCL","1.24"
"PC","avg","lerner","334111","6","1995","1998","Chu et al. (2007)","RCL","0.249"
"PC","median","markup","334111","6","1996","1997","Goeree (2008)","NL","0.15"
"Beer","median","lerner","312120","6","1991","1994","Hellerstein (2008)","RCL","0.27"
"Automobile","avg","markup","3361","4","1996","2004","Cachon Olivares (2009)","RCL","0.65"
"Airline","sw","lerner","481111","6","1999","1999","Berry, Jia (2010)","RCL","0.63"
"Airline","sw","lerner","481111","6","2006","2006","Berry, Jia (2010)","RCL","0.6"
"Coffee","median","markup","311920","6","2000","2004","Nakamura Zerom (2010)","RCL","0.583"
"PC","median","lerner","334111","6","2001","2004","Eizenberg (2012)","RCL","0.078"
"Digital Cameras","avg","markup","333316","6","2003","2006","Lou et al. (2012)","GR","0.88"
"Digital Cameras","avg","markup","333316","6","2003","2006","Gowrisankaran, Rysman (2009)","RCL","0.32"
"Retail Banks","median","markup","522110","6","2000","2000","Daim, Yuan (2013)","NL","0.371"
"Retail Banks","median","markup","522110","6","2008","2008","Daim, Yuan (2013)","NL","0.483"
"Retail","median","markup","44","2","2006","2010","Hottman (2015)","Other","0.29"
"PC","avg","markup","334111","6","2001","2004","Song (2015)","Nested","1.37225"
"PC","avg","markup","334111","6","2001","2004","Song (2015)","RCL","0.5608333"
"PC","avg","markup","334111","6","2001","2004","Song (2015)","Other","0.3964167"
"RTE Cereal","avg","markup","31123","5","1990","1994","Florez-Acosta (2016)","RCL","0.3851"
"Beer","avg","lerner","312120","6","2001","2011","Miller, Weinberg (2017)","RCNL","0.34"
"Automobile","median","lerner","3361","4","2007","2014","Murry, Zhou (2018)","RCL","0.29"
"Automobile","sw","markup","3361","4","1995","1995","Golovin (2020)","RCL","0.279"
"Automobile","sw","markup","3361","4","2000","2000","Golovin (2020)","RCL","0.263"
"Automobile","sw","markup","3361","4","2005","2005","Golovin (2020)","RCL","0.25"
"Automobile","sw","markup","3361","4","2010","2010","Golovin (2020)","RCL","0.248"
"Automobile","sw","markup","3361","4","2013","2013","Golovin (2020)","RCL","0.228"
"Automobile","sw","ratio","3361","4","1980","1980","Grieco et al. (2023)","RCL","1.65345769837934"
"Automobile","sw","ratio","3361","4","1985","1985","Grieco et al. (2023)","RCL","1.43097357374417"
"Automobile","sw","ratio","3361","4","1990","1990","Grieco et al. (2023)","RCL","1.36329051479847"
"Automobile","sw","ratio","3361","4","1995","1995","Grieco et al. (2023)","RCL","1.30144204928541"
"Automobile","sw","ratio","3361","4","2000","2000","Grieco et al. (2023)","RCL","1.26640829830938"
"Automobile","sw","ratio","3361","4","2005","2005","Grieco et al. (2023)","RCL","1.25312896711375"
"Automobile","sw","ratio","3361","4","2010","2010","Grieco et al. (2023)","RCL","1.26993766489373"
"Automobile","sw","ratio","3361","4","2015","2015","Grieco et al. (2023)","RCL","1.25364650207103"
"Automobile","sw","ratio","3361","4","2018","2018","Grieco et al. (2023)","RCL","1.25655168574207"
"Airline","median","markup","481111","6","2012","2012","Ciliberto et al. (2021)","NL","0.2821"
"Food Manufactoring","median","ratio","311","3","2006","2006","Brand (2022)","FRAC","1.92"
"Food Manufactoring","median","ratio","311","3","2017","2017","Brand (2022)","FRAC","2.32"
"Food Manufactoring","median","ratio","311","3","2006","2006","Brand (2022)","BLP","1.98"
"Food Manufactoring","median","ratio","311","3","2017","2017","Brand (2022)","BLP","2.36"
"Ice Cream","median","ratio","311520","6","2006","2006","Brand (WP)","FRAC","2.01"
"Ice Cream","median","ratio","311520","6","2017","2017","Brand (WP)","FRAC","2.28"
"Fruit Drinks","median","ratio","311411","6","2006","2006","Brand (WP)","BLP","1.82"
"Fruit Drinks","median","ratio","311411","6","2017","2017","Brand (WP)","BLP","2.2"
"Cookies","median","ratio","311821","6","2006","2006","Brand (WP)","BLP","2.01"
"Cookies","median","ratio","311821","6","2017","2017","Brand (WP)","BLP","2.55"
"Entrees","median","ratio","311412","6","2006","2006","Brand (WP)","BLP","2.09"
"Entrees","median","ratio","311412","6","2017","2017","Brand (WP)","BLP","2.42"
"Food Manufactoring","cw","markup","311","3","2010","2010","Li (2021)","NL","0.88"
"Food Manufactoring","cw","markup","311","3","2015","2015","Li (2021)","NL","0.864"
"RTE Cereal","avg","lerner","31123","5","1988","1992","Monardo (2021)","FIL","0.3531"
"RTE Cereal","avg","lerner","31123","5","1988","1992","Monardo (2021)","BLP","0.34"
"Airline","avg","lerner","481111","6","2011","2011","Bontemps, Wei (2021)","NL","0.27"
"Airline","avg","lerner","481111","6","2016","2016","Bontemps, Wei (2021)","NL","0.33"
"Coffee","avg","markup","311920","6","2012","2012","Jingwen (2021)","RCL","0.795"
"Soda","avg","markup","312111","6","2012","2012","Jingwen (2021)","RCL","1.844"
"Milk Products","median","lerner","3115","6","2018","2018","Badruddozal et al. (2022)","RCL","0.398"
"Soft Drinks","median","lerner","312111","6","2006","2006","Atalay et al. (2023)","NL","0.165"
"Soft Drinks","median","lerner","312111","6","2018","2018","Atalay et al. (2023)","NL","0.23"
"Water-Bottled","median","lerner","312111","6","2006","2006","Atalay et al. (2023)","NL","0.25"
"Water-Bottled","median","lerner","312111","6","2018","2018","Atalay et al. (2023)","NL","0.4"
"Cereal- Ready To Eat","median","lerner","31123","5","2006","2006","Atalay et al. (2023)","NL","0.37"
"Cereal- Ready To Eat","median","lerner","31123","5","2018","2018","Atalay et al. (2023)","NL","0.35"
"Toilet Tissue","median","lerner","322291","6","2006","2006","Atalay et al. (2023)","NL","0.23"
"Toilet Tissue","median","lerner","322291","6","2018","2018","Atalay et al. (2023)","NL","0.39"
"Fruit Drinks","median","lerner","311411","6","2006","2006","Atalay et al. (2023)","NL","0.22"
"Fruit Drinks","median","lerner","311411","6","2018","2018","Atalay et al. (2023)","NL","0.21"
"Dairy-Milk-Refrigerated","median","lerner","311511","6","2006","2006","Atalay et al. (2023)","NL","0.25"
"Dairy-Milk-Refrigerated","median","lerner","311511","6","2018","2018","Atalay et al. (2023)","NL","0.36"
"Dog Food","median","lerner","311111","6","2006","2006","Atalay et al. (2023)","NL","0.18"
"Dog Food","median","lerner","311111","6","2018","2018","Atalay et al. (2023)","NL","1.78"
"Chocolate","median","lerner","311351","6","2006","2006","Atalay et al. (2023)","NL","0.31"
"Chocolate","median","lerner","311351","6","2018","2018","Atalay et al. (2023)","NL","0.59"
"Beer","median","lerner","312120","6","2006","2006","Atalay et al. (2023)","NL","0.34"
"Beer","median","lerner","312120","6","2018","2018","Atalay et al. (2023)","NL","0.09"
"RTE Cereal","median","lerner","31123","5","1991","1992","Michel et al. (2023)","RCNL","0.414"
"RTE Cereal","median","lerner","31123","5","1993","1995","Michel et al. (2023)","RCNL","0.188"
"RTE Cereal","median","lerner","31123","5","1996","1996","Michel et al. (2023)","RCNL","0.045"
"Alcohol","median","lerner","31212, 31213, 31214","5","2013","2013","Conlon, Rao (2023)","RCNL","0.233"
"RTE Cereal","median","lerner","31123","5","1988","1988","Miravete et al. (2023)","RCNL","0.338"
"Concrete Products","median","ratio","3273","5","1976","1976","Miller et al. (2023)","RCL","1.178"
"Concrete Products","median","ratio","3273","5","1981","1981","Miller et al. (2023)","RCL","1.199"
"Concrete Products","median","ratio","3273","5","1986","1986","Miller et al. (2023)","RCL","1.215"
"Concrete Products","median","ratio","3273","5","1991","1991","Miller et al. (2023)","RCL","1.261"
"Concrete Products","median","ratio","3273","5","1996","1996","Miller et al. (2023)","RCL","1.238"
"Concrete Products","median","ratio","3273","5","2001","2001","Miller et al. (2023)","RCL","1.249"
"Concrete Products","median","ratio","3273","5","2006","2006","Miller et al. (2023)","RCL","1.221"
"Concrete Products","median","ratio","3273","5","2011","2011","Miller et al. (2023)","RCL","1.25"
"Concrete Products","median","ratio","3273","5","2016","2016","Miller et al. (2023)","RCL","1.25"
"Airline","avg","lerner","481111","6","2002","2012","Yigma (2023)","NL","0.247"
"Automobile","sw","ratio","3361","4","1980","1980","Grieco et al. (2024)","RCL","1.775"
"Automobile","sw","ratio","3361","4","1985","1985","Grieco et al. (2024)","RCL","1.521"
"Automobile","sw","ratio","3361","4","1990","1990","Grieco et al. (2024)","RCL","1.404"
"Automobile","sw","ratio","3361","4","1995","1995","Grieco et al. (2024)","RCL","1.336"
"Automobile","sw","ratio","3361","4","2000","2000","Grieco et al. (2024)","RCL","1.304"
"Automobile","sw","ratio","3361","4","2005","2005","Grieco et al. (2024)","RCL","1.285"
"Automobile","sw","ratio","3361","4","2010","2010","Grieco et al. (2024)","RCL","1.316"
"Automobile","sw","ratio","3361","4","2015","2015","Grieco et al. (2024)","RCL","1.299"
"Wholesale","avg","ratio","42","2","1997","1997","Ganapati (2024)","NL","1.256"
"Wholesale","avg","ratio","42","2","2002","2002","Ganapati (2024)","NL","1.283"
"Wholesale","avg","ratio","42","2","2007","2007","Ganapati (2024)","NL","1.303"
"Food Manufactoring","median","lerner","311","3","2006","2006","Dooper et al. (2023)","RCL","0.454"
"Food Manufactoring","median","lerner","311","3","2011","2011","Dooper et al. (2023)","RCL","0.509"
"Food Manufactoring","median","lerner","311","3","2016","2016","Dooper et al. (2023)","RCL","0.595"
"Food Manufactoring","median","lerner","311","3","2019","2019","Dooper et al. (2023)","RCL","0.6"
"Transportation","sw","markup","48","2","2017","2017","Pfander (2024)","NL","0.035"
